user,gender,fb_friend_count,sender_count,recipient_count,caller_count,callee_count
40,0,,,,,
41,1,10.0,0.0,0.0,0.0,0.0
42,0,13.0,2.0,1.0,1.0,1.0
43,0,14.0,8.0,8.0,1.0,0.0
44,0,7.0,0.0,0.0,0.0,0.0
45,0,2.0,0.0,0.0,0.0,0.0
46,1,26.0,29.0,25.0,4.0,12.0
47,0,10.0,28.0,53.0,44.0,35.0
48,1,16.0,168.0,104.0,37.0,26.0
49,0,38.0,172.0,250.0,39.0,52.0
50,0,10.0,5.0,4.0,0.0,1.0
51,1,14.0,62.0,54.0,6.0,9.0
52,0,65.0,22.0,29.0,11.0,8.0
53,1,6.0,0.0,0.0,0.0,0.0
54,1,23.0,3.0,2.0,0.0,0.0
55,0,15.0,25.0,26.0,0.0,0.0
56,-1,8.0,7.0,1.0,4.0,1.0
57,0,7.0,9.0,15.0,0.0,4.0
58,0,22.0,23.0,12.0,5.0,3.0
59,0,7.0,8.0,10.0,2.0,13.0
60,-1,18.0,0.0,0.0,0.0,0.0
61,1,19.0,26.0,25.0,0.0,0.0
62,0,3.0,5.0,6.0,1.0,0.0
63,0,8.0,10.0,13.0,2.0,4.0
64,0,16.0,12.0,23.0,0.0,3.0
65,0,15.0,2.0,1.0,0.0,1.0
66,1,8.0,1.0,1.0,2.0,2.0
67,0,6.0,22.0,17.0,2.0,5.0
68,1,17.0,6.0,5.0,1.0,3.0
69,0,32.0,18.0,15.0,11.0,21.0
70,0,0.0,8.0,8.0,0.0,1.0
71,0,12.0,2.0,1.0,1.0,0.0
72,0,19.0,6.0,5.0,1.0,0.0
73,0,13.0,12.0,17.0,0.0,1.0
74,1,30.0,15.0,14.0,8.0,1.0
75,1,65.0,26.0,40.0,1.0,5.0
76,0,15.0,18.0,22.0,1.0,1.0
